"Decay Calculations for Np-233 for 18338.61725 minutes",,
Nuclide,Activity,Integrated Activity (days)
Np-233  ,0,3134
U-233   ,4.323E-10,0.0004744
Pa-229  ,4.74E-10,0.03125
Th-229  ,9.448E-14,8.577E-08
Ra-225  ,3.622E-14,1.85E-08
Ac-225  ,5.848E-11,0.00007711
Fr-221  ,5.85E-11,0.00007708
At-217  ,5.85E-11,0.00007708
Bi-213  ,5.867E-11,0.00007684
Po-213  ,5.744E-11,0.00007524
Tl-209  ,1.226E-12,0.000001606
Pb-209  ,5.944E-11,0.00007584
