"Decay Calculations for Cd-119 for 51.79395948 minutes",,
Nuclide,Activity,Integrated Activity (days)
Cd-119  ,0.000001599,232.9
In-119m ,0.02154,176.2
In-119  ,0.001393,32.65
Sn-119m ,8.47E-09,0.00002022
