"Decay Calculations for Sb-131 for 3.313175557 minutes",,
Nuclide,Activity,Integrated Activity (days)
Sb-131  ,0.9051,189.2
Te-131m ,0.00009959,0.01007
Te-131  ,0.07662,7.865
I-131   ,0.000007874,0.0005301
Xe-131m ,4.224E-12,2.119E-10
