"Decay Calculations for Fr-219 for 0.012643203 minutes",,
Nuclide,Activity,Integrated Activity (days)
Fr-219  ,3.54E-12,0.02877
At-215  ,3.558E-12,0.02877
Bi-211  ,0.0001547,0.0001131
Tl-207  ,2.729E-07,9.983E-08
Po-211  ,2.675E-07,1.136E-07
