"Decay Calculations for Cs-121m for 0.003706096 minutes",,
Nuclide,Activity,Integrated Activity (days)
Cs-121m ,0.9987,0.2222
Cs-121  ,0.0001693,0.00001884
Xe-121  ,0.00005314,0.000005909
I-121   ,5.367E-10,3.978E-11
Te-121m ,5.93E-21,0
Te-121  ,1.66E-17,7.1E-16
