Radionuclide,Element,Z,A,Metastable_state,Half_life,Half_life_units,Half_life_s,Half_life_readable,Num_decay_modes,Mode_1,Fraction_1,Progeny_1,Mode_2,Fraction_2,Progeny_2,Mode_3,Fraction_3,Progeny_3,Mode_4,Fraction_4,Progeny_4
Tl-206m,Tl,81,206,m,3.74,m,224.4,3.74 m,1,IT,1.0,Tl-206,,,,,,,,,
Tl-207,Tl,81,207,,4.77,m,286.2,4.77 m,1,β-,1.0,Pb-207,,,,,,,,,
Tl-208,Tl,81,208,,3.053,m,183.18,3.053 m,1,β-,1.0,Pb-208,,,,,,,,,
Tl-209,Tl,81,209,,2.161,m,129.66,2.161 m,1,β-,1.0,Pb-209,,,,,,,,,
Tl-210,Tl,81,210,,1.30,m,78.0,1.30 m,1,β-,1.0,Pb-210,,,,,,,,,
Tm-161,Tm,69,161,,30.2,m,1812.0,30.2 m,1,β+ & EC,1.0,Er-161,,,,,,,,,
Tm-162,Tm,69,162,,21.70,m,1302.0,21.70 m,1,β+ & EC,1.0,Er-162,,,,,,,,,
Tm-163,Tm,69,163,,1.810,h,6516.0,1.810 h,1,β+ & EC,1.0,Er-163,,,,,,,,,
Tm-164,Tm,69,164,,2.0,m,120.0,2.0 m,1,β+ & EC,1.0,Er-164,,,,,,,,,
Tm-165,Tm,69,165,,30.06,h,108216.0,30.06 h,1,β+ & EC,1.0,Er-165,,,,,,,,,
Tm-166,Tm,69,166,,7.70,h,27720.0,7.70 h,1,β+ & EC,1.0,Er-166,,,,,,,,,
Tm-167,Tm,69,167,,9.25,d,799200.0,9.25 d,1,EC,1.0,Er-167,,,,,,,,,
Tm-168,Tm,69,168,,93.1,d,8043839.999999999,93.1 d,2,β+ & EC,0.9999,Er-168,β-,0.0001,Yb-168,,,,,,
Tm-170,Tm,69,170,,128.6,d,11111040.0,128.6 d,2,β-,0.99869,Yb-170,EC,0.00131,Er-170,,,,,,
Tm-171,Tm,69,171,,1.92,y,60589298.0736,1.92 y,1,β-,1.0,Yb-171,,,,,,,,,
Tm-172,Tm,69,172,,63.6,h,228960.0,63.6 h,1,β-,1.0,Yb-172,,,,,,,,,
Tm-173,Tm,69,173,,8.24,h,29664.0,8.24 h,1,β-,1.0,Yb-173,,,,,,,,,
Tm-174,Tm,69,174,,5.4,m,324.0,5.4 m,1,β-,1.0,Yb-174,,,,,,,,,
Tm-175,Tm,69,175,,15.2,m,912.0,15.2 m,1,β-,1.0,Yb-175,,,,,,,,,
Tm-176,Tm,69,176,,1.85,m,111.0,1.85 m,1,β-,1.0,Yb-176,,,,,,,,,
U-227,U,92,227,,1.1,m,66.0,1.1 m,1,α,1.0,Th-223,,,,,,,,,
U-228,U,92,228,,9.1,m,546.0,9.1 m,1,α,0.975,Th-224,,,,,,,,,
U-230,U,92,230,,20.8,d,1797120.0,20.8 d,1,α,1.0,Th-226,,,,,,,,,
U-231,U,92,231,,4.2,d,362880.0,4.2 d,2,EC,1.0,Pa-231,α,4e-05,Th-227,,,,,,
U-232,U,92,232,,68.9,y,2174272206.912,68.9 y,1,α,1.0,Th-228,,,,,,,,,
U-233,U,92,233,,1.592E+5,y,5023862631936.0,0.1592 My,1,α,1.0,Th-229,,,,,,,,,
U-234,U,92,234,,2.455E+5,y,7747225352640.0,0.2455 My,1,α,1.0,Th-230,,,,,,,,,
U-235,U,92,235,,7.04E+8,y,2.221607596032e+16,0.704 By,1,α,1.0,Th-231,,,,,,,,,
U-235m,U,92,235,m,26,m,1560.0,26 m,1,IT,1.0,U-235,,,,,,,,,
U-236,U,92,236,,2.342E+7,y,739063208793600.0,23.42 My,1,α,1.0,Th-232,,,,,,,,,
U-237,U,92,237,,6.75,d,583200.0,6.75 d,1,β-,1.0,Np-237,,,,,,,,,
U-238,U,92,238,,4.468E+9,y,1.4099634572544002e+17,4.468 By,2,α,1.0,Th-234,SF,5.45e-07,SF,,,,,,
U-239,U,92,239,,23.45,m,1407.0,23.45 m,1,β-,1.0,Np-239,,,,,,,,,
U-240,U,92,240,,14.1,h,50760.0,14.1 h,1,β-,1.0,Np-240m,,,,,,,,,
U-242,U,92,242,,16.8,m,1008.0,16.8 m,1,β-,1.0,Np-242,,,,,,,,,
V-47,V,23,47,,32.6,m,1956.0,32.6 m,1,β+ & EC,1.0,Ti-47,,,,,,,,,
V-48,V,23,48,,15.9735,d,1380110.4,15.9735 d,1,β+ & EC,1.0,Ti-48,,,,,,,,,
V-49,V,23,49,,330,d,28512000.0,330 d,1,EC,1.0,Ti-49,,,,,,,,,
V-50,V,23,50,,1.50E+17,y,4.7335389120000005e+24,150 Py,2,EC,0.83,Ti-50,β-,0.17,Cr-50,,,,,,
V-52,V,23,52,,3.743,m,224.57999999999998,3.743 m,1,β-,1.0,Cr-52,,,,,,,,,
V-53,V,23,53,,1.61,m,96.60000000000001,1.61 m,1,β-,1.0,Cr-53,,,,,,,,,
W-177,W,74,177,,132,m,7920.0,132 m,1,β+ & EC,1.0,Ta-177,,,,,,,,,
W-178,W,74,178,,21.6,d,1866240.0000000002,21.6 d,1,EC,1.0,Ta-178,,,,,,,,,
W-179,W,74,179,,37.05,m,2223.0,37.05 m,1,EC,1.0,Ta-179,,,,,,,,,
W-179m,W,74,179,m,6.40,m,384.0,6.40 m,2,IT,0.9972,W-179,EC,0.0028,Ta-179,,,,,,
W-181,W,74,181,,121.2,d,10471680.0,121.2 d,1,EC,1.0,Ta-181,,,,,,,,,
W-185,W,74,185,,75.1,d,6488639.999999999,75.1 d,1,β-,1.0,Re-185,,,,,,,,,
W-185m,W,74,185,m,1.597,m,95.82,1.597 m,1,IT,1.0,W-185,,,,,,,,,
W-187,W,74,187,,23.72,h,85392.0,23.72 h,1,β-,1.0,Re-187,,,,,,,,,
W-188,W,74,188,,69.78,d,6028992.0,69.78 d,1,β-,1.0,Re-188,,,,,,,,,
W-190,W,74,190,,30.0,m,1800.0,30.0 m,1,β-,1.0,Re-190,,,,,,,,,
Xe-120,Xe,54,120,,40,m,2400.0,40 m,1,β+ & EC,1.0,I-120,,,,,,,,,
Xe-121,Xe,54,121,,40.1,m,2406.0,40.1 m,1,β+ & EC,1.0,I-121,,,,,,,,,
Xe-122,Xe,54,122,,20.1,h,72360.0,20.1 h,1,EC,1.0,I-122,,,,,,,,,
Xe-123,Xe,54,123,,2.08,h,7488.0,2.08 h,1,β+ & EC,1.0,I-123,,,,,,,,,
Xe-125,Xe,54,125,,16.9,h,60839.99999999999,16.9 h,1,β+ & EC,1.0,I-125,,,,,,,,,
Xe-127,Xe,54,127,,36.4,d,3144960.0,36.4 d,1,EC,1.0,I-127,,,,,,,,,
Xe-127m,Xe,54,127,m,69.2,s,69.2,69.2 s,1,IT,1.0,Xe-127,,,,,,,,,
Xe-129m,Xe,54,129,m,8.88,d,767232.0000000001,8.88 d,1,IT,1.0,Xe-129,,,,,,,,,
Xe-131m,Xe,54,131,m,11.84,d,1022976.0,11.84 d,1,IT,1.0,Xe-131,,,,,,,,,
Xe-133,Xe,54,133,,5.243,d,452995.2,5.243 d,1,β-,1.0,Cs-133,,,,,,,,,
Xe-133m,Xe,54,133,m,2.19,d,189216.0,2.19 d,1,IT,1.0,Xe-133,,,,,,,,,
Xe-135,Xe,54,135,,9.14,h,32904.0,9.14 h,1,β-,1.0,Cs-135,,,,,,,,,
Xe-135m,Xe,54,135,m,15.29,m,917.4,15.29 m,2,IT,0.994,Xe-135,β-,0.006,Cs-135,,,,,,
Xe-137,Xe,54,137,,3.818,m,229.08,3.818 m,1,β-,1.0,Cs-137,,,,,,,,,
Xe-138,Xe,54,138,,14.08,m,844.8,14.08 m,1,β-,1.0,Cs-138,,,,,,,,,
Y-81,Y,39,81,,70.4,s,70.4,70.4 s,1,β+ & EC,1.0,Sr-81,,,,,,,,,
Y-83,Y,39,83,,7.08,m,424.8,7.08 m,1,β+ & EC,1.0,Sr-83,,,,,,,,,
Y-83m,Y,39,83,m,2.85,m,171.0,2.85 m,2,β+ & EC,0.6,Sr-83,IT,0.4,Y-83,,,,,,
Y-84m,Y,39,84,m,39.5,m,2370.0,39.5 m,1,β+ & EC,1.0,Sr-84,,,,,,,,,
Y-85,Y,39,85,,2.68,h,9648.0,2.68 h,1,β+ & EC,1.0,Sr-85m,,,,,,,,,
Y-85m,Y,39,85,m,4.86,h,17496.0,4.86 h,2,β+ & EC,0.96,Sr-85,β+ & EC,0.039998,Sr-85m,,,,,,
Y-86,Y,39,86,,14.74,h,53064.0,14.74 h,1,β+ & EC,1.0,Sr-86,,,,,,,,,
Y-86m,Y,39,86,m,48,m,2880.0,48 m,2,IT,0.9931,Y-86,β+ & EC,0.0069,Sr-86,,,,,,
Y-87,Y,39,87,,79.8,h,287280.0,79.8 h,1,β+ & EC,1.0,Sr-87m,,,,,,,,,
Y-87m,Y,39,87,m,13.37,h,48132.0,13.37 h,2,IT,0.9843,Y-87,β+ & EC,0.0157,Sr-87,,,,,,
Y-88,Y,39,88,,106.65,d,9214560.0,106.65 d,1,β+ & EC,1.0,Sr-88,,,,,,,,,
Y-89m,Y,39,89,m,15.663,s,15.663,15.663 s,1,IT,1.0,Y-89,,,,,,,,,
Y-90,Y,39,90,,64.10,h,230759.99999999997,64.10 h,1,β-,1.0,Zr-90,,,,,,,,,
Y-90m,Y,39,90,m,3.19,h,11484.0,3.19 h,2,IT,0.99998,Y-90,β-,1.8e-05,Zr-90,,,,,,
Y-91,Y,39,91,,58.51,d,5055264.0,58.51 d,1,β-,1.0,Zr-91,,,,,,,,,
Y-91m,Y,39,91,m,49.71,m,2982.6,49.71 m,1,IT,1.0,Y-91,,,,,,,,,
Y-92,Y,39,92,,3.54,h,12744.0,3.54 h,1,β-,1.0,Zr-92,,,,,,,,,
Y-93,Y,39,93,,10.18,h,36648.0,10.18 h,1,β-,1.0,Zr-93,,,,,,,,,
Y-94,Y,39,94,,18.7,m,1122.0,18.7 m,1,β-,1.0,Zr-94,,,,,,,,,
Y-95,Y,39,95,,10.3,m,618.0,10.3 m,1,β-,1.0,Zr-95,,,,,,,,,
Yb-162,Yb,70,162,,18.87,m,1132.2,18.87 m,1,β+ & EC,1.0,Tm-162,,,,,,,,,
Yb-163,Yb,70,163,,11.05,m,663.0,11.05 m,1,β+ & EC,1.0,Tm-163,,,,,,,,,
Yb-164,Yb,70,164,,75.8,m,4548.0,75.8 m,1,EC,1.0,Tm-164,,,,,,,,,
Yb-165,Yb,70,165,,9.9,m,594.0,9.9 m,1,β+ & EC,1.0,Tm-165,,,,,,,,,
Yb-166,Yb,70,166,,56.7,h,204120.0,56.7 h,1,EC,1.0,Tm-166,,,,,,,,,
Yb-167,Yb,70,167,,17.5,m,1050.0,17.5 m,1,β+ & EC,1.0,Tm-167,,,,,,,,,
Yb-169,Yb,70,169,,32.026,d,2767046.4000000004,32.026 d,1,EC,1.0,Tm-169,,,,,,,,,
Yb-175,Yb,70,175,,4.185,d,361583.99999999994,4.185 d,1,β-,1.0,Lu-175,,,,,,,,,
Yb-177,Yb,70,177,,1.911,h,6879.6,1.911 h,1,β-,1.0,Lu-177,,,,,,,,,
Yb-178,Yb,70,178,,74,m,4440.0,74 m,1,β-,1.0,Lu-178,,,,,,,,,
Yb-179,Yb,70,179,,8.0,m,480.0,8.0 m,1,β-,1.0,Lu-179,,,,,,,,,
Zn-60,Zn,30,60,,2.38,m,142.79999999999998,2.38 m,1,β+ & EC,1.0,Cu-60,,,,,,,,,
Zn-61,Zn,30,61,,89.1,s,89.1,89.1 s,1,β+ & EC,1.0,Cu-61,,,,,,,,,
Zn-62,Zn,30,62,,9.186,h,33069.6,9.186 h,1,β+ & EC,1.0,Cu-62,,,,,,,,,
Zn-63,Zn,30,63,,38.47,m,2308.2,38.47 m,1,β+ & EC,1.0,Cu-63,,,,,,,,,
Zn-65,Zn,30,65,,244.06,d,21086784.0,244.06 d,1,β+ & EC,1.0,Cu-65,,,,,,,,,
Zn-69,Zn,30,69,,56.4,m,3384.0,56.4 m,1,β-,1.0,Ga-69,,,,,,,,,
Zn-69m,Zn,30,69,m,13.76,h,49536.0,13.76 h,2,IT,0.99967,Zn-69,β-,0.00033,Ga-69,,,,,,
Zn-71,Zn,30,71,,2.45,m,147.0,2.45 m,1,β-,1.0,Ga-71,,,,,,,,,
Zn-71m,Zn,30,71,m,3.96,h,14256.0,3.96 h,1,β-,1.0,Ga-71,,,,,,,,,
Zn-72,Zn,30,72,,46.5,h,167400.0,46.5 h,1,β-,1.0,Ga-72,,,,,,,,,
Zr-85,Zr,40,85,,7.86,m,471.6,7.86 m,2,β+ & EC,0.96841,Y-85m,β+ & EC,0.031588,Y-85,,,,,,
Zr-86,Zr,40,86,,16.5,h,59400.0,16.5 h,1,β+ & EC,1.0,Y-86,,,,,,,,,
Zr-87,Zr,40,87,,1.68,h,6048.0,1.68 h,2,β+ & EC,0.99704,Y-87m,β+ & EC,0.0029636,Y-87,,,,,,
Zr-88,Zr,40,88,,83.4,d,7205760.000000001,83.4 d,1,EC,1.0,Y-88,,,,,,,,,
Zr-89,Zr,40,89,,78.41,h,282276.0,78.41 h,1,β+ & EC,1.0,Y-89,,,,,,,,,
Zr-89m,Zr,40,89,m,4.161,m,249.65999999999997,4.161 m,2,IT,0.9377,Zr-89,β+ & EC,0.0623,Y-89,,,,,,
Zr-93,Zr,40,93,,1.53E+6,y,48282096902400.0,1.53 My,2,β-,0.975,Nb-93m,β-,0.025,Nb-93,,,,,,
Zr-95,Zr,40,95,,64.032,d,5532364.8,64.032 d,2,β-,0.9892,Nb-95,β-,0.010802,Nb-95m,,,,,,
Zr-97,Zr,40,97,,16.744,h,60278.4,16.744 h,1,β-,1.0,Nb-97,,,,,,,,,
