0,Fm-257,7.982623693568561e-08
1,Es-256,0.00045482098461938666
2,Fm-256,7.330236681048491e-05
3,Cf-255,0.00013591121187449907
4,Es-255,2.0157127668433178e-07
5,Fm-255,9.593467039804369e-06
6,Es-254m,4.899259121854292e-06
7,Es-254,2.9098791483628596e-08
8,Fm-254,5.942619860767707e-05
9,Cf-254,1.326039142485356e-07
10,Fm-253,2.6741789373454678e-06
11,Cf-253,4.5045125278138144e-07
12,Es-253,3.919167958982122e-07
13,Fm-252,7.583335308738625e-06
14,Cf-252,8.304332609261895e-09
15,Fm-251,3.6328468582806354e-05
16,Es-251,5.834572226935566e-06
17,Cm-251,0.0006876460124602632
18,Bk-251,0.00020777793182252555
19,Cf-251,2.440551083499746e-11
20,Es-250m,8.673012769769085e-05
21,Es-250,2.238847482428764e-05
22,Cm-250,2.6463806929515317e-12
23,Bk-250,5.994423520824212e-05
24,Cf-250,1.679278268463128e-09
25,Es-249,0.00011303770067839942
26,Cm-249,0.0001800850040425942
27,Bk-249,2.4310717612231527e-08
28,Cf-249,6.25782329102499e-11
29,Bk-248m,8.12408791092294e-06
30,Cf-248,2.4019571293522167e-08
31,Cm-248,6.311770043533825e-14
32,Cf-247,6.191025192568287e-05
33,Bk-247,1.59166375010853e-11
34,Am-247,0.0005022805656231487
35,Cm-247,1.4080102404806227e-15
36,Cf-246,5.393302058511868e-06
37,Bk-246,4.45696489557578e-06
38,Pu-246,7.400864217745759e-07
39,Am-246,0.0002962167438290364
40,Am-246m,0.00046209812037329687
41,Cm-246,4.6144873427516204e-12
42,Bk-245,1.6239953060802434e-06
43,Pu-245,1.833722699894035e-05
44,Am-245,9.39223821896945e-05
45,Cm-245,2.5841129119409075e-12
46,Cf-244,0.0005954872685222898
47,Am-244m,0.0004443251157435547
48,Am-244,1.9063453810779574e-05
49,Cm-244,1.2135336879280504e-09
50,Pu-244,2.7456199689372145e-16
51,Cm-243,7.548096134535296e-10
52,Pu-243,3.885005720114481e-05
53,Am-243,2.9803201833782516e-12
54,Am-242m,1.5577985639360081e-10
55,Am-242,1.2018781740878508e-05
56,Cm-242,4.927848164641525e-08
57,Np-242m,0.002100446001696804
58,U-242,0.0006876460124602632
59,Np-242,0.00525111500424201
60,Pu-242,5.85732260039939e-14
61,Cm-241,2.445895369523294e-07
62,Np-241,0.0008311117272901022
63,Pu-241,1.530659216132245e-09
64,Am-241,5.08212858664917e-11
65,Cm-240,2.971309930383853e-07
66,Am-240,3.790174871828222e-06
67,U-240,1.3655381807721538e-05
68,Np-240m,0.0016000627436748506
69,Np-240,0.00018663090483574186
70,Pu-240,3.34627662271446e-12
71,Cm-239,6.639340809961161e-05
72,Am-239,1.6179906175535605e-05
73,U-239,0.0004926419193745169
74,Np-239,3.404428946334141e-06
75,Pu-239,9.110310971172839e-13
76,Cm-238,8.022536812036404e-05
77,Am-238,0.00011788217356461654
78,Np-238,3.7895780878773757e-06
79,Pu-238,2.5045564140818374e-10
80,U-238,4.916060821731807e-18
81,Am-237,0.0001582527809497592
82,Pu-237,1.774897524786815e-07
83,Pa-237,0.0013278681619922324
84,U-237,1.1885239721535413e-06
85,Np-237,1.024485063036274e-14
86,Np-236m,8.557372599505497e-06
87,Np-236,1.4262960877595917e-13
88,Pu-236,7.685430283939018e-09
89,Th-236,0.0003080654135821979
90,Pa-236,0.0012695003306958704
91,U-236,9.37871893744565e-16
92,Pu-235,0.00045661869602104435
93,Np-235,2.025381674333856e-08
94,Th-235,0.0016271060576524537
95,Pa-235,0.0004715286942584662
96,U-235m,0.0004443251157435547
97,U-235,3.120022691974107e-17
98,Pu-234,2.187964585100837e-05
99,Np-234,1.8233038209173643e-06
100,Th-234,3.328853448977761e-07
101,Pa-234m,0.009873891460967883
102,Pa-234,2.873744529684682e-05
103,U-234,8.94703044867524e-14
104,Np-233,0.0003191285361694039
105,Ac-233,0.004780325383172037
106,Th-233,0.0005180472201494359
107,Pa-233,2.974945975464977e-07
108,U-233,1.3797085271041278e-13
109,Pu-232,0.0003428027599208434
110,Np-232,0.0007858811570974437
111,Pa-232,6.124073902317865e-06
112,U-232,3.1879477142957494e-10
113,Ac-232,0.005824766223192818
114,Th-232,1.5633423310674529e-18
115,U-231,1.91012781238962e-06
116,Ac-231,0.0015403270679109895
117,Th-231,7.544705465864957e-06
118,Pa-231,6.704810668955346e-13
119,Pa-230,4.6106533402508075e-07
120,U-230,3.856988851940579e-07
121,Ra-230,0.0001242199248315314
122,Ac-230,0.0056815342668847975
123,Th-230,2.913897552599856e-13
124,Pa-229,5.3483578746909356e-06
125,Th-229,2.9925013285419227e-12
126,U-228,0.0012695003306958704
127,Pa-228,8.75185834040335e-06
128,Ra-228,3.819993000260472e-09
129,Ac-228,3.130746072989816e-05
130,Th-228,1.1490353500469614e-08
131,U-227,0.01050223000848402
132,Pa-227,0.00030163062687552013
133,Fr-227,0.0046771064815111
134,Ra-227,0.0002737548106476877
135,Ac-227,1.008862748093777e-09
136,Th-227,4.294719920790366e-07
137,Ac-226,6.555699131388277e-06
138,Th-226,0.00037790163589572853
139,Ra-226,1.3728099844686071e-11
140,Ra-225,5.384252893984164e-07
141,Ac-225,8.022536812036404e-07
142,Th-224,0.6601401719618526
143,Ac-224,6.925931060750853e-05
144,Fr-224,0.0034692051079076337
145,Ra-224,2.191949948643826e-06
146,Th-223,1.1552453009332422
147,Ac-223,0.005501168099682105
148,Rn-223,0.00047540958886141654
149,Fr-223,0.000525111500424201
150,Ra-223,7.018842355237448e-07
151,Fr-222,0.0008135530288262268
